"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genenames","diffexpressed","delabel"
"STM0074",157.792912497554,1.23675086868581,0.429005948797083,2.88282918256404,0.00394121098693436,0.239804970276792,"caiT","UP","caiT"
"STM0075",105.875179526823,0.882022039787597,0.46153706876562,1.91105351981058,0.0559977034389257,0.890690807646463,"fixA","NO",NA
"STM0076",86.4916495144517,0.738942022462697,0.481509976088357,1.53463491756836,0.124873530616093,0.998802608278029,"fixB","NO",NA
"STM0077",68.1535915468286,0.633021141845082,0.490618685969777,1.29025077916433,0.196963600530089,0.998802608278029,"fixC","NO",NA
"STM0078",9.52643823530438,0.367560805789,0.612073683054152,0.600517251378836,0.54816156723171,0.998802608278029,"fixX","NO",NA
"STM0079",55.0824734355771,0.403442949824728,0.302285068869129,1.33464398798802,0.181992893872448,0.998802608278029,"yaaU","NO",NA
"STM0080",14.2221103594042,-0.330106864422503,0.43683552068307,-0.755677706580093,0.449842453463008,0.998802608278029,NA,"NO",NA
"STM0081",13.4923427025791,-0.0274915009384157,0.540382690847704,-0.0508741330986924,0.959425817607899,0.998802608278029,NA,"NO",NA
"STM0082",24.6105020235934,-0.284089601376505,0.597071326850745,-0.475805131817226,0.6342132134843,0.998802608278029,NA,"NO",NA
"STM0083",5.0818931270332,-0.218607353700569,0.743123498979496,-0.294173652159802,0.768625212873833,0.998802608278029,NA,"NO",NA
"STM0084",24.6176313231654,-1.09580164875597,0.55353043504243,-1.97965925518074,0.0477418298302981,0.850424637208746,NA,"DOWN",NA
"STM0085",14.0588543245038,-0.278986109651351,0.464919401563724,-0.600074139115297,0.548456826644632,0.998802608278029,"yabF","NO",NA
"STM0086",45.9582972576789,0.191055360630074,0.291806775117031,0.654732435713497,0.512640037946708,0.998802608278029,"kefC","NO",NA
"STM0087",45.4352702792559,-0.629472126623876,0.255398295271214,-2.46466847382605,0.0137140075076695,0.464613951320441,"folA","DOWN","folA"
"STM0088",106.523982808608,-0.354512865938526,0.218632057681608,-1.62150450257756,0.104909485125703,0.998802608278029,"apaH","NO",NA
"STM0089",46.9587054885726,-0.32110059055043,0.21607098454892,-1.48608843163636,0.137255731790358,0.998802608278029,"apaG","NO",NA
"STM0090",97.5768917656029,-0.0727567820592326,0.213956042509828,-0.340054813155793,0.733815249932377,0.998802608278029,"ksgA","NO",NA
"STM0091",92.1840444748571,-0.106301832557448,0.28784732848045,-0.369299354343905,0.711904606752973,0.998802608278029,"pdxA","NO",NA
"STM0092",234.7511735586,-0.158098394339253,0.228741720020826,-0.691165539565143,0.489461517095308,0.998802608278029,"surA","NO",NA
"STM0093",358.560216017403,-0.0435219795836892,0.147552076693834,-0.294960129053257,0.768024337745126,0.998802608278029,"imp","NO",NA
"STM0094",56.3832175971218,-0.207243211216278,0.221857254891641,-0.934128619402141,0.35023755065791,0.998802608278029,"djlA","NO",NA
"STM0095",39.2441976070522,0.115072032883127,0.290476357041721,0.396149394240026,0.691994821292228,0.998802608278029,"rluA","NO",NA
"STM0096",81.9522147856923,0.135044692622699,0.348202309772475,0.387833994297571,0.698138886906479,0.998802608278029,"hepA","NO",NA
"STM0097",54.5094944991062,-0.40855262992384,0.243887912494588,-1.67516555349132,0.0939017540216418,0.998802608278029,"polB","NO",NA
"STM0098",10.5138757504062,-0.679956714829511,0.37514180184988,-1.81253251830786,0.0699039540651386,0.975638224747069,NA,"NO",NA
"STM0099",0.292137310351906,-0.243705687146754,1.72428290790949,-0.14133741396429,0.88760339419411,0.998802608278029,NA,"NO",NA
"STM0100",3.27211801828636,-0.178418225037418,0.810152748672487,-0.220227883358754,0.825693681880937,0.998802608278029,NA,"NO",NA
"STM0101",115.337602816863,0.081340390355343,0.922888301915571,0.0881367660490557,0.929767974988402,0.998802608278029,"araD","NO",NA
"STM0102",217.385500012631,-0.077923572316849,1.14502147771215,-0.068054245124333,0.945742452969299,0.998802608278029,"araA","NO",NA
"STM0103",250.437865482551,-0.268753071251853,0.925069946314644,-0.290521892233696,0.771417005065395,0.998802608278029,"araB","NO",NA
"STM0104",127.077487197842,-0.253553495640346,0.45463561556043,-0.557707066851308,0.577044431259249,0.998802608278029,"araC","NO",NA
"STM0105",44.3350409463357,-0.267118551932337,0.437818616700731,-0.610112365584775,0.541787375854632,0.998802608278029,"yabI","NO",NA
"STM0106",20.5950439174502,0.0554608333882281,0.347038427761284,0.159811793022465,0.873029333996285,0.998802608278029,"yabJ","NO",NA
"STM0107",12.960114861612,0.16558148671402,0.426525681442309,0.388209887278303,0.69786071685956,0.998802608278029,"yabK","NO",NA
"STM0108",13.0002549282054,-0.234167300452071,0.415959938106212,-0.5629563787277,0.573464587929666,0.998802608278029,"tbpA","NO",NA
"STM0109",66.958414532147,0.147811442901839,0.183216688946259,0.806757527122406,0.419806193569103,0.998802608278029,"yabN","NO",NA
