"","baseMean","log2FoldChange","lfcSE","pvalue","padj","genenames"
"STM0001",46.7720179454219,-8.48244501637475e-05,0.0111677480035762,0.713513744335832,0.998802608278029,"thrL"
"STM0002",123.172436101339,-9.00929370977975e-05,0.0111615421596355,0.821432038890778,0.998802608278029,"thrA"
"STM0003",65.8001420924045,-0.000319105001226875,0.0111646368901739,0.530333218996953,0.998802608278029,"thrB"
"STM0004",131.259264110616,-7.53839749339086e-05,0.0111529155651878,0.900974532053042,0.998802608278029,"thrC"
"STM0005",62.5027674299472,0.000238346973267475,0.0111634327494348,0.613404616462971,0.998802608278029,"yaaA"
"STM0006",52.8069381209459,-0.000436808042283647,0.0111686063359526,0.429203621984855,0.998802608278029,"yaaJ"
"STM0007",790.227976584972,0.000387939468285407,0.0111666651057667,0.502902831470133,0.998802608278029,"talB"
"STM0008",69.896613374969,-2.79523153522732e-05,0.0111610162127053,0.947113004118662,0.998802608278029,"mog"
"STM0009",24.2277900466047,0.000475454528022565,0.011176738037522,0.258231419049255,0.998802608278029,"yaaH"
"STM0010",17.20628409138,-6.78525957625099e-05,0.0111654657206,0.826498876017606,0.998802608278029,"htgA"
"STM0011",4.87612380871912,-0.000157810495054306,0.0111693613093214,0.452816189642724,0.998802608278029,"yaaI"
"STM0012",2354.89864792178,-0.000677814595835223,0.0111920350548581,0.0975548658863471,0.998802608278029,"dnaK"
"STM0013",327.572710725779,-0.00119009851906732,0.011248662957374,0.0397586527954427,0.79951450910822,"dnaJ"
"STM0014",3.48448913731605,-0.000268804364854063,0.0111732801767894,0.111372112860102,0.998802608278029,NA
"STM0015",1.0859172850626,-0.000146609905406279,0.0111704897199113,0.248125813492986,0.998802608278029,NA
"STM0016",0.716317942504639,-4.15253322100766e-05,0.0111693971873205,0.735127203101959,0.998802608278029,NA
"STM0017",0.406682972057424,-6.48558181616781e-05,0.011169759645352,0.558850914810023,0.998802608278029,NA
"STM0018",48.6539255016835,-0.000459674203368726,0.0111781551480561,0.164524592733151,0.998802608278029,NA
"STM0019",18.8191055273903,0.000272684291406937,0.0111676237887694,0.492251020577236,0.998802608278029,NA
"STM0020",1.96628834651267,-3.05756382492147e-05,0.0111692879838034,0.70467220345369,0.998802608278029,NA
"STM0021",5.23125228529505,-0.000179375290023368,0.0111695406715809,0.42249506328112,0.998802608278029,"bcfA"
"STM0022",3.69427877267178,-1.6092666363226e-05,0.0111680251614351,0.926070639180642,0.998802608278029,"bcfB"
"STM0023",9.54372856832503,-4.84753352075672e-05,0.0111667152671916,0.854135454590272,0.998802608278029,"bcfC"
"STM0024",8.28252956770693,0.000134867560614686,0.0111681062972805,0.587438532936876,0.998802608278029,"bcfD"
"STM0025",3.49382180904083,0.000151454271419802,0.0111701132803618,0.332120590321071,0.998802608278029,"bcfE"
"STM0026",10.8626906677621,-0.000175474354375397,0.011168879760161,0.479248640750235,0.998802608278029,"bcfF"
"STM0027",4.51643258159881,-0.000150427971686677,0.0111689395987988,0.504023461291763,0.998802608278029,"bcfG"
