"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genenames"
"STM1130",99.3598075104063,3.68767869291592,0.56380570091078,6.54069067935779,6.12353672860242e-11,9.12815208343668e-08,NA
"STM1131",82.8112068823712,3.49387680381545,0.5556636921254,6.28775436172815,3.22091007712074e-10,3.60097746622098e-07,NA
"STM1132",49.1183665527141,3.28115030025332,0.456461943232577,7.1882231342592,6.56399282583076e-13,1.46770879585576e-09,NA
"STM4046",50.0004767074932,3.18852483572734,0.759461928042428,4.19839983808801,2.6880770161474e-05,0.00632688442958483,"rhaA"
"STM1129",77.0597656425894,3.16947201415721,0.524540525428155,6.04237777733214,1.51859380231461e-09,1.35823029679019e-06,NA
"STM3339",1213.01678307474,3.04745337705195,0.645006060587035,4.72468952350368,2.3046719168633e-06,0.000792807139400976,"nanA"
"STM4172",364.754063728263,-2.8434612848931,0.540944570577949,-5.25647439599056,1.46843209451409e-07,7.29647591851891e-05,"zraP"
"STM0552",6.84176412326951,-2.76669425713829,0.706875408880381,-3.91397723330121,9.07881994615817e-05,0.0184547649087361,"fimW"
"STM1133",126.350613624382,2.57791629584034,0.466536172544427,5.52565148760217,3.2826519053427e-08,2.44666988678209e-05,NA
"STM4484",50.8125398117113,-2.33554651166108,0.632440390074749,-3.69291169304516,0.000221701024316548,0.0341878269221933,"idnD"
"STM3338",664.6489007931,2.1544638493815,0.260861508865195,8.2590331504019,1.4685714242807e-16,6.5674514093833e-13,"nanT"
"STM3337",240.536953346483,2.10505037491368,0.483422722438006,4.35447130887322,1.33388448583837e-05,0.00331396190037176,"nanE"
"STM4171",168.505351322843,-1.98270047951788,0.386512232097871,-5.12972246377918,2.90169669336538e-07,0.0001297638761273,"yjaH"
"STM3336",205.092983001106,1.6797846200944,0.379367701226673,4.42785354331134,9.51754885352574e-06,0.00266015490456044,"nanK"
"STM2771",645.853582580043,1.59265590437023,0.361601031167535,4.40445620198558,1.0604956310673e-05,0.00278972733066645,"fljB"
"STM0684",235.200539122374,1.58819358886791,0.291514457543164,5.44807829516567,5.09169453903475e-08,3.04108439221888e-05,"nagB"
"STM2548",38.6964480223702,1.57452151963736,0.353857791499896,4.44958838680205,8.603501796114e-06,0.00256499066881479,"asrA"
"STM3335",255.655155785635,1.46164450787607,0.379580386871538,3.85068501542662,0.000117787909245188,0.0229020665280209,"yhcH"
"STM1920",139.546842381626,1.42095620529037,0.383418105727348,3.70602270488715,0.000210539433594072,0.0341347562790583,"cheW"
"STM2549",31.6766492523179,1.39165091442169,0.370822912662487,3.75287196907472,0.000174820152382285,0.0312718288581432,"asrB"
"STM1614",59.9299209472762,1.38848275182585,0.273832576812847,5.07055357688439,3.96660227184759e-07,0.000161260412360931,NA
"STM2037",197.193219217912,1.35324600694257,0.376431603302067,3.59493197455224,0.000324476348042012,0.0483686076147959,"pduF"
"STM0685",797.481944597446,1.30824872834657,0.240651140622932,5.43628725365742,5.44022252633073e-08,3.04108439221888e-05,"nagE"
"STM4007",206.503290966441,1.22627715052696,0.331223135329482,3.70226901362772,0.000213679873265597,0.0341347562790583,"glnA"
"STM4173",165.486448033356,-1.03359509200575,0.226138520941998,-4.57062816056385,4.8626442915999e-06,0.00155326751943106,"hydH"
"STM0683",217.554668038031,1.02298106581101,0.269587033872239,3.79462265346118,0.000147868170890504,0.0275527691759307,"nagA"
"STM2874",98.5647162929382,1.0125524287917,0.248862946635714,4.06871509993762,4.72731076186559e-05,0.0100669208224109,"prgH"
"STM1615",38.9171432691798,0.997943130566524,0.26955286200167,3.70221678655499,0.000213723876523621,0.0341347562790583,NA
"STM0687",209.931584368732,0.953850356553179,0.197494795291451,4.82974933666247,1.3670503430934e-06,0.000509454094526141,"ybfM"
"STM1924",131.042536971776,0.821273509894597,0.197952236459142,4.14884683590888,3.34154280867348e-05,0.00747168972019391,"flhC"
