"X275.1" "X275.2" "X275.3" "X275.4" "X275.5" "X278.1" "X278.2" "X278.3" "X278.4" "X278.5" "genenames"
"RS11510" 16.1879596497764 19.7923392935429 18.9183929891691 19.2029827447275 19.0007829162127 19.5341856179936 17.3240506664975 16.7140835161228 16.119760129736 17.5032022862478 "dnaA"
"RS20105" 14.9834007300463 18.6766622099707 17.9200337098646 17.5345006845411 17.234078390173 17.9034450107077 15.9647142524033 15.5404078638 14.887579272059 16.123272227948 NA
"RS08655" 12.716953982504 16.7672283328394 16.2052963015603 14.4987048985688 13.639492772391 17.2415034997084 14.4731140445731 15.5056978275668 13.3179372559896 14.7576815853777 NA
"RS20050" 12.0381378117673 15.9683405532054 15.5221611552929 13.873912952723 13.0484517964836 16.4656611979837 13.6801221844218 14.4340710098802 12.5257834564506 13.9017480700039 NA
"RS02820" 11.7079776358997 15.8995300098156 15.2721015114981 13.558424783682 12.8684633463645 16.3401735154091 13.5724231887703 14.5739952463606 12.389227254457 13.8577680365242 NA
"RS01625" 11.7207628912166 15.9015238603283 15.2899234475152 13.5646066717217 12.8584634826243 16.3152957980483 13.5620211827124 14.5319688031805 12.4330679677451 13.8374028185092 NA
"RS22890" 11.6652013447999 15.8733765561339 15.2520910966985 13.517937644668 12.8035915122082 16.2293501439815 13.4514345731116 14.3911391826172 12.2909293594736 13.7464917007019 "folB"
"RS08640" 11.1499784983674 15.0952378020451 15.0030008317106 13.260199346304 11.9900420323599 15.3286995523203 12.7218911574213 13.3532522490614 11.3074182639369 13.0254356913498 NA
"RS03195" 13.9495659066803 13.264677565189 13.4618172840665 13.1574239285756 12.9155830843088 12.5922691805373 12.8812245847424 14.2620655178923 13.7453657484813 12.9801746794226 NA
"RS20320" 13.5541069287489 12.9090353675015 12.3203799627637 14.5341032887204 14.7318590642508 12.3662869597209 12.0858660779599 11.2911288704893 11.1283206544574 12.2181355284849 NA
"RS22920" 12.9515125331046 13.9817195674583 13.2608298586425 13.2720007796861 12.6135028429696 11.895788474932 12.3744567469699 13.6456562448816 12.9733310531601 12.2097097061485 "mtaB"
"RS22925" 12.7470708957575 13.730835856493 12.6443179776391 13.0526377678333 12.2326160749155 11.3458270853286 12.1258055349516 14.1458975374703 12.8769477221369 12.2456997137459 NA
"RS20065" 10.1493204877303 14.1396034489144 14.010402117048 12.2282546982653 11.0955721040273 14.3317613403605 11.5417999120609 12.0641191292025 10.0086146564788 11.8061711337915 NA
"RS03475" 12.9989798442241 12.4977927393906 13.3456954615834 13.180327569434 12.808514703302 12.8100349986557 12.6783342773746 12.3407787182018 12.9077045416549 12.6676650976727 NA
"RS01640" 10.0339221864233 14.0654454042151 13.9436611818289 12.1569455143588 11.0539651659102 14.3401100685136 11.4864758011619 12.1677184099484 10.1611982309814 11.8926030801353 NA
"RS22905" 10.0623613320268 14.0292090867638 13.911145828913 12.1627527884806 11.1166560066556 14.1945748868961 11.479642231857 12.2203021354076 10.0628326144425 11.8710583088745 NA
"RS02835" 9.97274897160819 14.0060341618102 13.9395416233645 12.050949545984 11.0678434703334 14.2634981869675 11.4270090074782 12.0831730436315 10.1038869306287 11.8155717522315 NA
"RS15510" 13.0703451421734 12.9298667558075 13.1364019916377 12.86902247643 12.8464367110259 12.6102776899155 12.4536254579823 12.4298076827873 12.2409395034969 12.697913963868 NA
"RS10830" 13.0714973376944 12.2164597428709 12.5413497186401 12.5862893889859 11.8488066964538 12.1285178062211 12.303411050663 13.2448979757007 13.2061222108739 12.0648236166969 "rplI"
"RS08450" 10.6825011024824 11.0811821008688 13.3165653198275 13.9353141028698 13.4179980008645 11.1159324449574 11.3350105139752 12.4910112467861 12.0123637254961 12.522782397154 "rpsR"
"RS03760" 12.5549288007889 12.1349896216803 12.4017514096251 12.3739834547091 12.4087290039127 12.2737608343605 12.1669910832071 12.2475822968493 12.5067758036856 12.3212171920478 "rpsF"
"RS16130" 14.1205840980686 9.63971997298569 12.0827239931013 14.0261663922996 10.1863269858444 3.59463853831315 2.84057488240999 6.33453669936297 2.97469183750655 3.97635401650134 NA
"RS03150" 12.5706477427761 12.1992727286642 12.3389364390056 12.3286931026076 11.3374080832174 10.223404725328 11.4328099311221 12.4952851604244 12.1991882353438 11.1302256441627 NA
"RS22305" 12.3257155234846 12.100899925236 11.9183840946903 11.8719873846975 11.5607380417285 10.7488074964173 11.3051027036858 12.8735202435018 12.3792754648607 11.1817529423372 NA
"RS15455" 9.59331568399134 10.1828096960905 11.2471297810898 12.7138922991459 13.4229678261768 12.4226969353656 12.0964627557685 8.93840176298597 10.5384211060318 12.4602275763435 NA
"RS00270" 9.9338592484799 13.6082442522136 13.3860877962787 12.1845026321375 12.8984735193003 8.96472758056586 8.10139591281495 8.98777131186217 9.58279371967018 9.81260498851137 NA
"RS00265" 10.7097249562504 13.1499530024117 13.5058868055661 12.2710549414615 12.9364841645684 9.38383681098312 8.3006535169079 9.29285497659191 9.77439652770907 10.3296159398773 "hemW"
"RS03155" 12.5725780177022 12.2357450900282 12.2971825540239 12.2249625487969 11.2407185821753 10.3439233253531 11.2367434062868 12.520666120592 11.9667258670446 10.8956113453801 NA
"RS05635" 3.72433487827577 6.69307846061561 12.8410255731575 10.7353885657186 13.3784387255996 10.3946807728975 10.3000416813736 11.131888190083 12.235305135351 12.824195300705 NA
"RS03130" 12.4531113791227 11.8359667894788 11.3448001231942 11.5008613892863 10.9267818483874 11.0809369064278 11.3514375325119 12.8647378589435 11.9771977090834 11.3445310731584 NA
